Date,Persian_Date,Close,USD_Close,XAU_Close,Coin_Close,Oil_Close,AED_Close,Silver_Close,Bourse_Close
2013-07-22,1392/04/31,1000000.0,31200.0,1335.9,10270000.0,108.42,8550.0,20.57,78151.3
2013-07-23,1392/05/01,1030000.0,31650.0,1348.1,10370000.0,107.19,8670.0,20.49,78151.3
2013-07-24,1392/05/02,1025000.0,31670.0,1321.3,10497000.0,107.65,8660.0,20.19,78151.3
2013-07-27,1392/05/05,1040000.0,31800.0,1333.9,10580000.0,107.17,8700.0,20.0,78151.3
2013-07-28,1392/05/06,1030000.0,31700.0,1333.9,10574000.0,107.45,8640.0,20.0,78151.3
2013-07-31,1392/05/09,1046000.0,31920.0,1323.1,10794000.0,109.54,8835.0,19.85,78151.3
2013-08-03,1392/05/12,1040000.0,32400.0,1312.0,10780000.0,108.95,8900.0,19.94,78151.3
2013-08-04,1392/05/13,1030000.0,32000.0,1312.0,10680000.0,108.7,8750.0,19.94,78151.3
2013-08-05,1392/05/14,1020000.0,31900.0,1303.95,10570000.0,108.18,8680.0,19.73,78151.3
2013-08-06,1392/05/15,1020000.0,32250.0,1281.9,10650000.0,107.44,8730.0,19.52,78151.3
2013-08-07,1392/05/16,1033000.0,32181.0,1287.75,10715000.0,106.68,8710.0,19.59,78151.3
2013-08-11,1392/05/20,1050000.0,32250.0,1314.5,10840000.0,108.97,8710.0,20.57,78151.3
2013-08-12,1392/05/21,1040000.0,31950.0,1336.4,10630000.0,109.82,8700.0,21.4,78151.3
2013-08-13,1392/05/22,1040000.0,31950.0,1321.3,10720000.0,110.2,8697.0,21.46,78151.3
2013-08-14,1392/05/23,1053000.0,31700.0,1335.2,10620000.0,111.11,8715.0,21.87,78151.3
2013-08-17,1392/05/26,1060000.0,31580.0,1376.4,10670000.0,110.4,8600.0,23.25,78151.3
2013-08-18,1392/05/27,1060000.0,31450.0,1376.4,10470000.0,109.9,8600.0,23.25,78151.3
2013-08-19,1392/05/28,1040000.0,31000.0,1365.98,10230000.0,110.15,8500.0,23.16,78151.3
2013-08-20,1392/05/29,1030000.0,30950.0,1371.17,10200000.0,109.81,8400.0,23.03,78151.3
2013-08-21,1392/05/30,1042000.0,31200.0,1366.35,10333000.0,109.9,8500.0,22.88,78151.3
2013-08-24,1392/06/02,1060000.0,31200.0,1396.85,10420000.0,111.04,8590.0,24.0,78151.3
2013-08-25,1392/06/03,1060000.0,31250.0,1396.85,10390000.0,110.73,8590.0,24.0,78151.3
2013-08-26,1392/06/04,1080000.0,31750.0,1404.9,10750000.0,114.36,8600.0,24.32,78151.3
2013-08-27,1392/06/05,1140000.0,33000.0,1416.65,10950000.0,116.61,9000.0,24.51,78151.3
2013-08-28,1392/06/06,1120000.0,32530.0,1418.5,10894000.0,115.16,8800.0,24.39,78151.3
2013-08-31,1392/06/09,1110000.0,32580.0,1396.4,10984000.0,114.01,8892.0,23.51,78151.3
2013-09-01,1392/06/10,1110000.0,32580.0,1396.4,10984000.0,114.33,8892.0,23.51,78151.3
2013-09-03,1392/06/12,1140000.0,33050.0,1412.65,11280000.0,114.91,8966.0,24.27,78151.3
2013-09-04,1392/06/13,1140000.0,33030.0,1391.45,11377000.0,115.26,9027.0,23.49,78151.3
2013-09-05,1392/06/14,1140000.0,33030.0,1367.85,11377000.0,116.12,9027.0,23.2,78151.3
2013-09-07,1392/06/16,1120000.0,32900.0,1391.61,11200000.0,116.12,8950.0,23.87,78151.3
2013-09-08,1392/06/17,1110000.0,32850.0,1391.61,11080000.0,113.72,9000.0,23.87,78151.3
2013-09-09,1392/06/18,1070000.0,32000.0,1387.05,10630000.0,111.25,8850.0,23.71,78151.3
2013-09-10,1392/06/19,1055000.0,31800.0,1364.45,10490000.0,111.5,8705.0,22.98,78151.3
2013-09-11,1392/06/20,1040000.0,31720.0,1366.75,10100000.0,112.63,8723.0,23.2,78151.3
2013-09-12,1392/06/21,1040000.0,31720.0,1321.05,10100000.0,112.78,8723.0,21.79,78151.3
2013-09-14,1392/06/23,1020000.0,31700.0,1326.72,10110000.0,112.78,8700.0,22.25,78151.3
2013-09-15,1392/06/24,990000.0,31300.0,1326.72,9640000.0,110.07,8600.0,22.25,78151.3
2013-09-16,1392/06/25,980000.0,30600.0,1314.0,9600000.0,108.19,8500.0,21.8,78151.3
2013-09-17,1392/06/26,980000.0,30800.0,1309.65,9660000.0,110.6,8450.0,21.73,78151.3
2013-09-18,1392/06/27,997000.0,30130.0,1365.15,9000000.0,108.76,8130.0,22.92,78151.3
2013-09-21,1392/06/30,950000.0,29300.0,1325.38,9310000.0,109.22,8000.0,21.84,78151.3
2013-09-22,1392/06/31,960000.0,29350.0,1325.38,9310000.0,108.16,8050.0,21.84,78151.3
2013-09-23,1392/07/01,950000.0,29350.0,1322.15,9260000.0,108.64,8050.0,21.65,78151.3
2013-09-24,1392/07/02,990000.0,30700.0,1323.2,9800000.0,108.32,8450.0,21.73,78151.3
2013-09-25,1392/07/03,990000.0,30450.0,1333.6,9687000.0,109.21,8341.0,21.8,78151.3
2013-09-26,1392/07/04,990000.0,30450.0,1323.7,9687000.0,108.63,8341.0,21.72,78151.3
2013-09-28,1392/07/06,1010000.0,30650.0,1336.2,9900000.0,108.63,8400.0,21.78,78151.3
2013-09-29,1392/07/07,990000.0,30350.0,1336.2,9660000.0,108.37,8300.0,21.78,78151.3
2013-09-30,1392/07/08,980000.0,30550.0,1327.55,9700000.0,107.94,8300.0,21.69,78151.3
2013-10-01,1392/07/09,980000.0,30550.0,1286.6,9750000.0,109.19,8350.0,21.16,78151.3
2013-10-02,1392/07/10,980000.0,30519.0,1315.25,9650000.0,109.0,8320.0,21.76,78151.3
2013-10-05,1392/07/13,990000.0,30550.0,1311.35,9760000.0,109.46,8316.0,21.75,78151.3
2013-10-06,1392/07/14,980000.0,30450.0,1311.35,9740000.0,109.68,8300.0,21.75,78151.3
2013-10-07,1392/07/15,990000.0,30500.0,1321.79,9760000.0,110.16,8300.0,22.35,78151.3
2013-10-08,1392/07/16,980000.0,30350.0,1318.8,9590000.0,109.06,8300.0,22.29,78151.3
2013-10-09,1392/07/17,969000.0,30350.0,1307.2,9376000.0,111.8,8300.0,21.91,78151.3
2013-10-12,1392/07/20,950000.0,30150.0,1273.11,9387000.0,111.28,8270.0,21.23,78151.3
2013-10-13,1392/07/21,960000.0,30350.0,1273.11,9395000.0,111.04,8270.0,21.23,78151.3
2013-10-14,1392/07/22,950000.0,30372.0,1273.4,9387000.0,109.96,8280.0,21.3,78151.3
2013-10-15,1392/07/23,950000.0,30372.0,1280.8,9387000.0,110.86,8280.0,21.3,78151.3
2013-10-17,1392/07/25,970000.0,30227.0,1319.7,9540000.0,109.94,8260.0,21.89,78151.3
2013-10-19,1392/07/27,970000.0,30150.0,1316.24,9560000.0,109.94,8250.0,21.93,78151.3
2013-10-20,1392/07/28,983000.0,29950.0,1316.24,9535000.0,109.64,8200.0,21.93,78151.3
2013-10-21,1392/07/29,971000.0,30100.0,1315.75,9590000.0,109.97,8200.0,22.24,78151.3
2013-10-22,1392/07/30,977000.0,30130.0,1340.65,9560000.0,107.8,8209.0,22.68,78151.3
2013-10-26,1392/08/04,990000.0,30100.0,1352.13,9650000.0,106.93,8220.0,22.57,78151.3
2013-10-27,1392/08/05,990000.0,30100.0,1352.13,9710000.0,109.61,8200.0,22.57,78151.3
2013-10-28,1392/08/06,990000.0,30150.0,1352.2,9660000.0,109.01,8200.0,22.52,78151.3
2013-10-29,1392/08/07,990000.0,30050.0,1344.3,9700000.0,109.86,8240.0,22.57,78151.3
2013-10-30,1392/08/08,980000.0,30082.0,1342.8,9564000.0,108.84,8210.0,22.74,78151.3
2013-10-31,1392/08/09,980000.0,30082.0,1323.8,9564000.0,105.91,8210.0,21.9,78151.3
2013-11-02,1392/08/11,980000.0,30400.0,1315.35,9550000.0,105.91,8244.0,21.86,78151.3
2013-11-03,1392/08/12,970000.0,30300.0,1315.35,9510000.0,106.23,8243.0,21.86,78151.3
2013-11-04,1392/08/13,970000.0,30100.0,1314.74,9460000.0,105.33,8250.0,21.67,78151.3
2013-11-05,1392/08/14,970000.0,30180.0,1311.6,9490000.0,105.24,8244.0,21.7,78151.3
2013-11-06,1392/08/15,970000.0,30036.0,1318.4,9227000.0,103.46,8242.0,21.82,78151.3
2013-11-07,1392/08/16,970000.0,30036.0,1307.95,9227000.0,105.12,8242.0,21.66,78151.3
